id,submit_time,age,total_exp,dept,overall_satis,workload,benefit_pension,benefit_annual_leave,benefit_health_ins,benefit_other,other_notes,gender,edu,emp_status,tenure,monthly_income,city,is_duplicate,data_quality_flag
1,2025-12-01 14:30:00,35,8,研发,4,5,1,1,0,0,,male,本科,在职,8,15000,北京,0,正常
2,2025-12-01 09:15:00,28,3,销售,4,4,1,0,1,0,,female,大专,在职,3,12000,上海,0,正常
3,2025-12-03 16:45:00,42,15,其他,3,3,0,0,0,1,希望增加远程办公,female,硕士,在职,15,20000,广州,0,正常
4,2025-12-04 11:20:00,55,22,生产,6,2,1,1,1,0,,male,高中,在职,22,18000,深圳,0,正常
5,2025-12-05 13:50:00,NULL,0,职能,0,5,0,0,0,0,,male,本科,在职,5,NULL,杭州,0,收入缺失
6,2025-12-06 10:05:00,24,1,研发,4,4,0,1,0,0,,male,本科,在职,1,8000,北京,0,正常
7,2025-12-07 17:30:00,60,35,其他,4,1,1,0,0,1,已退休返聘,male,博士,返聘,35,30000,上海,0,正常
8,2025-12-08 08:45:00,18,0.5,销售,2,5,0,0,1,0,,female,高中,实习生,0.5,5000,上海,0,正常
9,2025-12-09 15:10:00,39,12,职能,NULL,NULL,1,1,0,0,,female,本科,在职,12,NULL,成都,0,关键字段缺失
10,2025-12-12 10:00:00,45,10,研发,5,3,0,0,0,0,,male,本科,在职,10,20000,重庆,0,正常
11,2025-12-11 13:20:00,16,0,学生,3,4,1,0,1,0,,male,初中,非员工,0,0,北京,0,逻辑校验_学生
12,2025-12-12 14:00:00,25,2,研发,4,4,1,1,0,0,,male,本科,在职,2,18000,北京,0,正常
13,2025-12-13 11:30:00,50,30,管理,5,2,0,1,1,0,,male,硕士,在职,30,35000,上海,0,正常
14,2025-12-14 09:45:00,22,1,销售,2,5,0,0,0,0,,female,本科,在职,1,7000,广州,0,正常
15,2025-12-15 16:20:00,60,40,退休,3,1,1,0,0,1,退休人员,male,高中,非员工,40,5000,北京,0,逻辑校验_退休
16,2025-12-01 14:30:00,35,8,研发,4,5,1,1,0,0,,male,本科,在职,8,15000,北京,1,重复记录
17,2025-12-16 10:00:00,28,3,销售,2,4,1,0,1,0,,female,大专,在职,3,12000,上海,0,正常
18,2025-12-17 08:30:00,NULL,NULL,测试部门,NULL,NULL,0,0,0,0,测试,unknown,未知,测试,NULL,NULL,未知城市,0,测试数据
19,2025-12-18 12:00:00,200,50,研发,NULL,10,1,1,1,0,极端异常值测试,other,其他,其他,NULL,其他城市,0,异常值_收入负数_工作负荷越界